pixels	name	aspectFraction	aspectRatio	w2h	megapixels
640x480	VGA	1-1/3:1	4:3	1.3333	0.31
800x600	SVGA	1-1/3:1	4:3	1.3333	0.48
854x480		1-187/240:1	427:240	1.7792	0.41
960x600		1-3/5:1	8:5	1.6	0.58
960x1200		4/5:1	4:5	0.8000	1.15
1024x640		1-3/5:1	8:5	1.6	0.66
1024x768	XGA	1-1/3:1	4:3	1.3333	0.79
1152x864		1-1/3:1	4:3	1.3333	1.00
1280x720		1-7/9:1	16:9	1.7777	0.92
1280x768	WXGA	1-2/3:1	5:3	1.6666	0.98
1280x800	WXGA	1-3/5:1	8:5	1.6	1.02
1280x960		1-1/3:1	4:3	1.3333	1.23
1280x1024	SXGA	1-1/4:1	5:4	1.2500	1.32
1360x768	WXGA	1-37/48:1	85:48	1.7708	1.04
1366x768	WXGA	1-299/384:1	683:384	1.7786	1.05
1400x1050	SXGA+	1-1/3:1	4:3	1.3333	1.47
1440x900	SXGA, WXGA, WXGA+	1-3/5:1	8:5	1.6	1.30
1600x900		1-7/9:1	16:9	1.7777	1.44
1600x1000		1-3/5:1	8:5	1.6000	1.60
1600x1024		1-9/16:1	25:16	1.5625	1.64
1600x1200	UXGA	1-1/3:1	4:3	1.3333	1.92
1600x1280	1-1/4:1	5:4	1.25	2.05
1680x1050	WSXGA, WSXGA+	1-3/5:1	8:5	1.6000	1.76
1792x1344		1-1/3:1	4:3	1.3333	2.41
1856x1392		1-1/3:1	4:3	1.3333	2.58
1920x1080		1-7/9:1	16:9	1.7777	2.07
1920x1200	WUXGA	1-3/5:1	8:5	1.6000	2.30
1920x1440		1-1/3:1	4:3	1.3333	2.76
1920x2400		4/5:1	4:5	0.8000	4.61
2048x1280		1-3/5:1	8:5	1.6000	2.62
2048x1536	QXGA	1-1/3:1	4:3	1.3333	3.15
2560x1600	WQXGA	1-3/5:1	8:5	1.6000	4.10
2560x2048		1-1/4:1	5:4	1.2500	5.24
3840x2400	QUXGA	1-3/5:1	8:5	1.6000	9.22